Neighborhood,Year,Latitude,Longitude,Zillow_Value,Future_Prediction,Keras_Prediction,Missing_Forecast
Athmar Park,2000,39.7036815,-105.0107412,137236.33110500852,,,True
Athmar Park,2001,39.7036815,-105.0107412,156998.34095533282,,,True
Athmar Park,2002,39.7036815,-105.0107412,169528.6848835372,,,True
Athmar Park,2003,39.7036815,-105.0107412,172385.8406069617,,,True
Athmar Park,2004,39.7036815,-105.0107412,174401.54517252676,,,True
Athmar Park,2005,39.7036815,-105.0107412,175950.88676593456,,,True
Athmar Park,2006,39.7036815,-105.0107412,175688.35818370772,,,True
Athmar Park,2007,39.7036815,-105.0107412,166058.88626471444,,,True
Athmar Park,2008,39.7036815,-105.0107412,141743.21731565273,,,True
Athmar Park,2009,39.7036815,-105.0107412,128796.01785256261,,,True
Athmar Park,2010,39.7036815,-105.0107412,131171.22820325763,,,True
Athmar Park,2011,39.7036815,-105.0107412,120361.68476919834,,,True
Athmar Park,2012,39.7036815,-105.0107412,126091.85731922249,,,True
Athmar Park,2013,39.7036815,-105.0107412,150476.25148924356,,,True
Athmar Park,2014,39.7036815,-105.0107412,176080.22591279793,,,True
Athmar Park,2015,39.7036815,-105.0107412,216722.62387676828,,,True
Athmar Park,2016,39.7036815,-105.0107412,258098.86782619532,,,True
Athmar Park,2017,39.7036815,-105.0107412,289032.11875130475,,,True
Athmar Park,2018,39.7036815,-105.0107412,322209.35779828415,,,True
Athmar Park,2019,39.7036815,-105.0107412,343361.17786318815,,,True
Athmar Park,2020,39.7036815,-105.0107412,365343.116604151,,,True
Athmar Park,2021,39.7036815,-105.0107412,418571.788947224,,,True
Athmar Park,2022,39.7036815,-105.0107412,467774.4095286296,,,True
Athmar Park,2023,39.7036815,-105.0107412,457093.3263364501,,,True
Athmar Park,2024,39.7036815,-105.0107412,458700.1543308485,488331.0,457937.0,False
Athmar Park,2025,39.7036815,-105.0107412,455667.3713175665,524554.0,477776.0,False
Athmar Park,2026,39.7036815,-105.0107412,,563510.0,500337.0,False
Athmar Park,2027,39.7036815,-105.0107412,,603426.0,525098.0,False
Athmar Park,2028,39.7036815,-105.0107412,,643941.0,552634.0,False
Athmar Park,2029,39.7036815,-105.0107412,,684870.0,581765.0,False
Athmar Park,2030,39.7036815,-105.0107412,,726014.0,613133.0,False
Athmar Park,2031,39.7036815,-105.0107412,,767441.0,646544.0,False
Athmar Park,2032,39.7036815,-105.0107412,,809096.0,681381.0,False
Athmar Park,2033,39.7036815,-105.0107412,,850998.0,717074.0,False
Athmar Park,2034,39.7036815,-105.0107412,,893033.0,753075.0,False
Athmar Park,2035,39.7036815,-105.0107412,,935067.0,789076.0,False
Auraria,2000,39.7465219,-105.0067102,,,,True
Auraria,2001,39.7465219,-105.0067102,,,,True
Auraria,2002,39.7465219,-105.0067102,,,,True
Auraria,2003,39.7465219,-105.0067102,,,,True
Auraria,2004,39.7465219,-105.0067102,,,,True
Auraria,2005,39.7465219,-105.0067102,,,,True
Auraria,2006,39.7465219,-105.0067102,,,,True
Auraria,2007,39.7465219,-105.0067102,,,,True
Auraria,2008,39.7465219,-105.0067102,537171.4506840955,,,True
Auraria,2009,39.7465219,-105.0067102,531076.9798420612,,,True
Auraria,2010,39.7465219,-105.0067102,503115.9369174524,,,True
Auraria,2011,39.7465219,-105.0067102,471470.68660012376,,,True
Auraria,2012,39.7465219,-105.0067102,476937.9399587543,,,True
Auraria,2013,39.7465219,-105.0067102,510727.0838004336,,,True
Auraria,2014,39.7465219,-105.0067102,546753.5538795745,,,True
Auraria,2015,39.7465219,-105.0067102,599269.6767643777,,,True
Auraria,2016,39.7465219,-105.0067102,630067.7647961713,,,True
Auraria,2017,39.7465219,-105.0067102,651585.9774600532,,,True
Auraria,2018,39.7465219,-105.0067102,701125.0002271039,,,True
Auraria,2019,39.7465219,-105.0067102,730787.8581448329,,,True
Auraria,2020,39.7465219,-105.0067102,779894.5232179941,,,True
Auraria,2021,39.7465219,-105.0067102,814777.5662073396,,,True
Auraria,2022,39.7465219,-105.0067102,879047.4625107386,,,True
Auraria,2023,39.7465219,-105.0067102,842225.1296025786,,,True
Auraria,2024,39.7465219,-105.0067102,805855.5797880191,853598.0,813882.0,False
Auraria,2025,39.7465219,-105.0067102,772870.0011080513,883637.0,833577.0,False
Auraria,2026,39.7465219,-105.0067102,,918347.0,853272.0,False
Auraria,2027,39.7465219,-105.0067102,,956005.0,873218.0,False
Auraria,2028,39.7465219,-105.0067102,,993693.0,893602.0,False
Auraria,2029,39.7465219,-105.0067102,,1031696.0,914911.0,False
Auraria,2030,39.7465219,-105.0067102,,1070519.0,937598.0,False
Auraria,2031,39.7465219,-105.0067102,,1109341.0,961664.0,False
Auraria,2032,39.7465219,-105.0067102,,1148658.0,986583.0,False
Auraria,2033,39.7465219,-105.0067102,,1188075.0,1012299.0,False
Auraria,2034,39.7465219,-105.0067102,,1227724.0,1039499.0,False
Auraria,2035,39.7465219,-105.0067102,,1267696.0,1068592.0,False
Baker,2000,39.7115945,-104.9938414,171430.1460824946,,,True
Baker,2001,39.7115945,-104.9938414,200279.75501395765,,,True
Baker,2002,39.7115945,-104.9938414,212793.66251535993,,,True
Baker,2003,39.7115945,-104.9938414,216650.36382712668,,,True
Baker,2004,39.7115945,-104.9938414,224275.2921967342,,,True
Baker,2005,39.7115945,-104.9938414,234807.0079864924,,,True
Baker,2006,39.7115945,-104.9938414,242739.5157390517,,,True
Baker,2007,39.7115945,-104.9938414,248862.07763214162,,,True
Baker,2008,39.7115945,-104.9938414,242131.3130021364,,,True
Baker,2009,39.7115945,-104.9938414,241552.5704216752,,,True
Baker,2010,39.7115945,-104.9938414,249172.0552834201,,,True
Baker,2011,39.7115945,-104.9938414,243218.41898278112,,,True
Baker,2012,39.7115945,-104.9938414,250537.54427091588,,,True
Baker,2013,39.7115945,-104.9938414,280788.9270936994,,,True
Baker,2014,39.7115945,-104.9938414,312260.40642228426,,,True
Baker,2015,39.7115945,-104.9938414,366594.3208559037,,,True
Baker,2016,39.7115945,-104.9938414,405161.77141661866,,,True
Baker,2017,39.7115945,-104.9938414,438089.9024570089,,,True
Baker,2018,39.7115945,-104.9938414,471168.24101118324,,,True
Baker,2019,39.7115945,-104.9938414,493406.22445392003,,,True
Baker,2020,39.7115945,-104.9938414,520914.12476850994,,,True
Baker,2021,39.7115945,-104.9938414,575182.5014364453,,,True
Baker,2022,39.7115945,-104.9938414,642211.1079429447,,,True
Baker,2023,39.7115945,-104.9938414,612836.7420022313,,,True
Baker,2024,39.7115945,-104.9938414,596943.124660151,653785.0,564072.0,False
Baker,2025,39.7115945,-104.9938414,589649.1503758276,691604.0,584232.0,False
Baker,2026,39.7115945,-104.9938414,,731145.0,605965.0,False
Baker,2027,39.7115945,-104.9938414,,771340.0,629174.0,False
Baker,2028,39.7115945,-104.9938414,,811820.0,654264.0,False
Baker,2029,39.7115945,-104.9938414,,852392.0,680893.0,False
Baker,2030,39.7115945,-104.9938414,,892964.0,710121.0,False
Baker,2031,39.7115945,-104.9938414,,933726.0,742058.0,False
Baker,2032,39.7115945,-104.9938414,,974782.0,775947.0,False
Baker,2033,39.7115945,-104.9938414,,1015838.0,810877.0,False
Baker,2034,39.7115945,-104.9938414,,1056986.0,846757.0,False
Baker,2035,39.7115945,-104.9938414,,1098417.0,882758.0,False
Barnum,2000,39.717683,-105.0324553,119179.38046762568,,,True
Barnum,2001,39.717683,-105.0324553,138210.36613564243,,,True
Barnum,2002,39.717683,-105.0324553,149519.85320392673,,,True
Barnum,2003,39.717683,-105.0324553,151178.1273803033,,,True
Barnum,2004,39.717683,-105.0324553,151212.1800549876,,,True
Barnum,2005,39.717683,-105.0324553,152195.7113273367,,,True
Barnum,2006,39.717683,-105.0324553,149188.26234530943,,,True
Barnum,2007,39.717683,-105.0324553,138468.88883587855,,,True
Barnum,2008,39.717683,-105.0324553,109925.09974358551,,,True
Barnum,2009,39.717683,-105.0324553,101347.36426531506,,,True
Barnum,2010,39.717683,-105.0324553,105190.96462214143,,,True
Barnum,2011,39.717683,-105.0324553,100515.3746240372,,,True
Barnum,2012,39.717683,-105.0324553,108760.18545631756,,,True
Barnum,2013,39.717683,-105.0324553,130762.05486677198,,,True
