Neighborhood,Latitude,Longitude
Montbello,39.7842234,-104.8311541
Montclair,39.731735,-104.9129478
Skyland,39.7557132,-104.9502236
Hale,39.7330213,-104.931128
Fort Logan,39.6406013,-105.0530413
Berkley,39.8103987,-105.0334804
Hilltop,39.7830787,-104.9939611
Athmar Park,39.7036815,-105.0107412
Baker,39.7115945,-104.9938414
Barnum,39.717683,-105.0324553
Barnum West,39.7171551,-105.0464972
Belcaro,39.7011372,-104.9476043
Capitol Hill,39.7358754,-104.9799213
Central Business District,39.7473782,-104.9927414
Chaffee Park,39.787909,-105.0109935
City Park,39.74734,-104.950285
City Park West,39.7453761,-104.9665773
Civic Center,39.738181,-104.9877439
Congress Park,39.7337198,-104.9483668
Cory - Merrill,39.6883368,-104.9477142
Denver International Airport,39.8606676,-104.6853673
East Colfax,39.7406288,-104.8977476
Elyria Swansea,39.7829579,-104.9581129
Five Points,39.7546578,-104.9779857
Globeville,39.7807315,-104.9869723
Goldsmith,39.6581077,-104.9036385
Hampden,39.6608331,-104.8812821
Hampden South,39.65366,-104.9017241
Harvey Park,39.6746638,-105.0391672
Harvey Park South,39.6623175,-105.039197
Jefferson Park,39.7506207,-105.0197793
Mar Lee,39.6891921,-105.0391507
North Capitol Hill,39.7456241,-104.981596
North Park Hill,39.7556231,-104.922007
Northeast Park Hill,39.7683819,-104.9085721
Overland,39.6905077,-104.9951847
Platt Park,39.6867799,-104.9805032
Regis,39.7867787,-105.0439679
South Park Hill,39.7466503,-104.9220435
Southmoor Park,39.6511209,-104.9071536
Speer,39.7568766,-105.0184389
Union Station,39.7532276,-105.0000944
University Hills,39.6677728,-104.9360342
Villa Park,39.730961,-105.039215
Virginia Village,39.6902801,-104.9230956
Washington Park,39.7020811,-104.9710337
Washington Park West,39.7197735,-104.9841433
Wellshire,39.6605299,-104.9500913
West Colfax,39.7400933,-105.0392024
West Highland,39.7644656,-105.039271
Westwood,39.7041929,-105.0391743
Whittier,39.756363,-104.9665584
Highland,39.761583,-105.0125003
Central Park,39.7706387,-104.8916194
Auraria,39.7465219,-105.0067102
Clayton,39.76676,-104.9501994
Lincoln Park,39.7327941,-105.0051392
Ruby Hill,39.6835984,-105.0072046
Valverde,39.7183009,-105.0158232
Sloan Lake,39.7524265,-105.0392402
Berkeley,39.7752306,-105.0392611
Sunnyside,39.7756802,-105.0116958
Rosedale,39.6719007,-104.9804988
Cheesman Park,39.731979,-104.9664546
Cole,39.76563,-104.9665571
