Year,Neighborhood,Prophet Forecasted Home Value,YoY_Growth
2024,Athmar Park,478760.51,
2024,Auraria,815072.6,
2024,Baker,629640.03,
2024,Barnum,435294.91,
2024,Barnum West,447313.56,
2024,Bear Valley,560145.36,
2024,Belcaro,1458614.42,
2024,Berkeley,795165.6,
2024,Berkley,488297.64,
2024,Capitol Hill,356166.82,
2024,Central Business District,434101.05,
2024,Central Park,835321.19,
2024,Chaffee Park,499555.11,
2024,Cheesman Park,445727.09,
2024,Cherry Creek,1182523.58,
2024,City Park,777623.86,
2024,City Park West,666781.23,
2024,Civic Center,611544.97,
2024,Clayton,519747.81,
2024,Cole,586214.89,
2024,College View - South Platte,439448.81,
2024,Congress Park,846986.59,
2024,Cory - Merrill,935982.55,
2024,Country Club,1685973.24,
2024,Denver International Airport,397997.53,
2024,East Colfax,451385.93,
2024,Elyria Swansea,384686.41,
2024,Five Points,639459.17,
2024,Fort Logan,593420.22,
2024,Gateway - Green Valley Ranch,513037.95,
2024,Globeville,405084.88,
2024,Goldsmith,508255.84,
2024,Hale,672303.22,
2024,Hampden,546057.55,
2024,Hampden South,536431.55,
2024,Harvey Park,513373.03,
2024,Harvey Park South,569629.87,
2024,Highland,778297.2,
2024,Hilltop,1563280.71,
2024,Indian Creek,410686.29,
2024,Jefferson Park,711815.86,
2024,Lincoln Park,470490.4,
2024,Lowry Field,850711.5,
2024,Mar Lee,458254.38,
2024,Montbello,457414.64,
2024,Montclair,723795.03,
2024,North Capitol Hill,514710.81,
2024,North Park Hill,705342.04,
2024,Northeast Park Hill,503596.61,
2024,Overland,544007.47,
2024,Platt Park,869839.15,
2024,Regis,617831.29,
2024,Rosedale,728622.17,
2024,Ruby Hill,463498.48,
2024,Skyland,628278.79,
2024,Sloan Lake,856420.47,
2024,South Park Hill,971484.01,
2024,Southmoor Park,742137.57,
2024,Speer,561459.79,
2024,Sunnyside,702826.05,
2024,Union Station,688858.09,
2024,University,708230.53,
2024,University Hills,603949.72,
2024,University Park,1082366.39,
