Neighborhood,Year,Predicted Home Value
Athmar Park,2024,398356.42
Athmar Park,2025,411850.02
Athmar Park,2026,425343.62
Athmar Park,2027,438837.22
Athmar Park,2028,452330.82
Athmar Park,2029,465824.42
Athmar Park,2030,479318.02
Athmar Park,2031,492811.62
Athmar Park,2032,506305.22
Athmar Park,2033,519798.82
Athmar Park,2034,533292.42
Athmar Park,2035,546786.02
Auraria,2024,855948.21
Auraria,2025,882783.9
Auraria,2026,909619.59
Auraria,2027,936455.27
Auraria,2028,963290.96
Auraria,2029,990126.65
Auraria,2030,1016962.34
Auraria,2031,1043798.03
Auraria,2032,1070633.71
Auraria,2033,1097469.4
Auraria,2034,1124305.09
Auraria,2035,1151140.78
Baker,2024,576946.59
Baker,2025,596050.79
Baker,2026,615154.98
Baker,2027,634259.18
Baker,2028,653363.37
Baker,2029,672467.56
Baker,2030,691571.76
Baker,2031,710675.95
Baker,2032,729780.14
Baker,2033,748884.34
Baker,2034,767988.53
Baker,2035,787092.73
Barnum,2024,359555.53
Barnum,2025,372167.01
Barnum,2026,384778.49
Barnum,2027,397389.97
Barnum,2028,410001.45
Barnum,2029,422612.93
Barnum,2030,435224.41
Barnum,2031,447835.89
Barnum,2032,460447.37
Barnum,2033,473058.85
Barnum,2034,485670.33
Barnum,2035,498281.81
Barnum West,2024,371213.71
Barnum West,2025,384556.74
Barnum West,2026,397899.76
Barnum West,2027,411242.79
Barnum West,2028,424585.81
Barnum West,2029,437928.84
Barnum West,2030,451271.87
Barnum West,2031,464614.89
Barnum West,2032,477957.92
Barnum West,2033,491300.94
Barnum West,2034,504643.97
Barnum West,2035,517986.99
Bear Valley,2024,473706.91
Bear Valley,2025,488588.26
Bear Valley,2026,503469.6
Bear Valley,2027,518350.95
Bear Valley,2028,533232.3
Bear Valley,2029,548113.64
Bear Valley,2030,562994.99
Bear Valley,2031,577876.33
Bear Valley,2032,592757.68
Bear Valley,2033,607639.02
Bear Valley,2034,622520.37
Bear Valley,2035,637401.72
Belcaro,2024,1216152.94
Belcaro,2025,1251658.4
Belcaro,2026,1287163.86
Belcaro,2027,1322669.32
Belcaro,2028,1358174.77
Belcaro,2029,1393680.23
Belcaro,2030,1429185.69
Belcaro,2031,1464691.15
Belcaro,2032,1500196.61
Belcaro,2033,1535702.07
Belcaro,2034,1571207.52
Belcaro,2035,1606712.98
Berkeley,2024,700349.5
Berkeley,2025,724332.59
Berkeley,2026,748315.67
Berkeley,2027,772298.75
Berkeley,2028,796281.84
Berkeley,2029,820264.92
Berkeley,2030,844248.0
Berkeley,2031,868231.09
Berkeley,2032,892214.17
Berkeley,2033,916197.26
Berkeley,2034,940180.34
Berkeley,2035,964163.42
Berkley,2024,511080.28
Berkley,2025,541936.44
Berkley,2026,572792.61
Berkley,2027,603648.78
Berkley,2028,634504.94
Berkley,2029,665361.11
Berkley,2030,696217.27
Berkley,2031,727073.44
Berkley,2032,757929.61
Berkley,2033,788785.77
Berkley,2034,819641.94
Berkley,2035,850498.11
Capitol Hill,2024,332201.35
Capitol Hill,2025,341180.84
Capitol Hill,2026,350160.33
Capitol Hill,2027,359139.82
Capitol Hill,2028,368119.31
Capitol Hill,2029,377098.8
Capitol Hill,2030,386078.29
Capitol Hill,2031,395057.78
Capitol Hill,2032,404037.27
Capitol Hill,2033,413016.76
