,RegionID,Neighborhood,City,Year,Quarter,Value
0,6018,Montbello,Denver,2000,1,127119.42
1,6018,Montbello,Denver,2000,2,131496.9
2,6018,Montbello,Denver,2000,3,137494.02
3,6018,Montbello,Denver,2000,4,142838.48
4,6018,Montbello,Denver,2001,1,148532.88
5,6018,Montbello,Denver,2001,2,154218.89
6,6018,Montbello,Denver,2001,3,158589.1
7,6018,Montbello,Denver,2001,4,162617.65
8,6018,Montbello,Denver,2002,1,165304.68
9,6018,Montbello,Denver,2002,2,166834.05
10,6018,Montbello,Denver,2002,3,168013.95
11,6018,Montbello,Denver,2002,4,169338.94
12,6018,Montbello,Denver,2003,1,169657.38
13,6018,Montbello,Denver,2003,2,168686.83
14,6018,Montbello,Denver,2003,3,168937.81
15,6018,Montbello,Denver,2003,4,170093.54
16,6018,Montbello,Denver,2004,1,170282.14
17,6018,Montbello,Denver,2004,2,171011.02
18,6018,Montbello,Denver,2004,3,171053.23
19,6018,Montbello,Denver,2004,4,170515.42
20,6018,Montbello,Denver,2005,1,171447.02
21,6018,Montbello,Denver,2005,2,171467.51
22,6018,Montbello,Denver,2005,3,171130.35
23,6018,Montbello,Denver,2005,4,170003.82
24,6018,Montbello,Denver,2006,1,168797.38
25,6018,Montbello,Denver,2006,2,169185.36
26,6018,Montbello,Denver,2006,3,168539.67
27,6018,Montbello,Denver,2006,4,166377.08
28,6018,Montbello,Denver,2007,1,164219.79
29,6018,Montbello,Denver,2007,2,163426.08
30,6018,Montbello,Denver,2007,3,161273.19
31,6018,Montbello,Denver,2007,4,154834.76
32,6018,Montbello,Denver,2008,1,147144.59
33,6018,Montbello,Denver,2008,2,138743.06
34,6018,Montbello,Denver,2008,3,127973.12
35,6018,Montbello,Denver,2008,4,122959.62
36,6018,Montbello,Denver,2009,1,117732.88
37,6018,Montbello,Denver,2009,2,118241.01
38,6018,Montbello,Denver,2009,3,119086.21
39,6018,Montbello,Denver,2009,4,121749.23
40,6018,Montbello,Denver,2010,1,126892.11
41,6018,Montbello,Denver,2010,2,126928.99
42,6018,Montbello,Denver,2010,3,123088.61
43,6018,Montbello,Denver,2010,4,118583.73
44,6018,Montbello,Denver,2011,1,115184.21
45,6018,Montbello,Denver,2011,2,112629.51
46,6018,Montbello,Denver,2011,3,111291.71
47,6018,Montbello,Denver,2011,4,111596.79
48,6018,Montbello,Denver,2012,1,112712.71
49,6018,Montbello,Denver,2012,2,113071.54
50,6018,Montbello,Denver,2012,3,119280.81
51,6018,Montbello,Denver,2012,4,127281.2
52,6018,Montbello,Denver,2013,1,132753.37
53,6018,Montbello,Denver,2013,2,137332.2
54,6018,Montbello,Denver,2013,3,145095.61
55,6018,Montbello,Denver,2013,4,151566.79
56,6018,Montbello,Denver,2014,1,156178.84
57,6018,Montbello,Denver,2014,2,160938.01
58,6018,Montbello,Denver,2014,3,168145.8
59,6018,Montbello,Denver,2014,4,175927.39
60,6018,Montbello,Denver,2015,1,186075.11
61,6018,Montbello,Denver,2015,2,196711.1
62,6018,Montbello,Denver,2015,3,207143.38
63,6018,Montbello,Denver,2015,4,217300.57
64,6018,Montbello,Denver,2016,1,227489.06
65,6018,Montbello,Denver,2016,2,237296.62
